t,f2,f2d
0.000000,0.524413,9.104535
0.010000,0.612370,8.483566
0.020000,0.694022,7.843942
0.030000,0.769192,7.187312
0.040000,0.837717,6.515366
0.050000,0.899454,5.829835
0.060000,0.954275,5.132482
0.070000,1.002070,4.425100
0.080000,1.042749,3.709507
0.090000,1.076239,2.987542
0.100000,1.102485,2.261058
0.110000,1.121451,1.531922
0.120000,1.133121,0.802007
0.130000,1.137495,0.073187
0.140000,1.134594,-0.652667
0.150000,1.124458,-1.373691
0.160000,1.107143,-2.088031
0.170000,1.082726,-2.793854
0.180000,1.051300,-3.489344
0.190000,1.012979,-4.172712
0.200000,0.967892,-4.842203
0.210000,0.916187,-5.496090
0.220000,0.858028,-6.132692
0.230000,0.793596,-6.750365
0.240000,0.723089,-7.347517
0.250000,0.646720,-7.922604
0.260000,0.564716,-8.474140
0.270000,0.477320,-9.000696
0.280000,0.384790,-9.500906
0.290000,0.287394,-9.973469
0.300000,0.185416,-10.417154
0.310000,0.079151,-10.830803
0.320000,-0.031096,-11.213331
0.330000,-0.145008,-11.563733
0.340000,-0.262260,-11.881082
0.350000,-0.382517,-12.164536
0.360000,-0.505436,-12.413335
0.370000,-0.630666,-12.626809
0.380000,-0.757852,-12.804372
0.390000,-0.886632,-12.945533
0.400000,-1.016640,-13.049887
0.410000,-1.147506,-13.117125
0.420000,-1.278858,-13.147027
0.430000,-1.410322,-13.139470
0.440000,-1.541522,-13.094422
0.450000,-1.672085,-13.011945
0.460000,-1.801637,-12.892197
0.470000,-1.929806,-12.735425
0.480000,-2.056223,-12.541973
0.490000,-2.180525,-12.312273
0.500000,-2.302350,-12.046850
0.510000,-2.421345,-11.746318
0.520000,-2.537161,-11.411376
0.530000,-2.649460,-11.042813
0.540000,-2.757908,-10.641500
0.550000,-2.862184,-10.208390
0.560000,-2.961974,-9.744516
0.570000,-3.056975,-9.250986
0.580000,-3.146898,-8.728985
0.590000,-3.231464,-8.179766
0.600000,-3.310407,-7.604654
0.610000,-3.383476,-7.005036
0.620000,-3.450431,-6.382359
0.630000,-3.511051,-5.738131
0.640000,-3.565127,-5.073912
0.650000,-3.612468,-4.391312
0.660000,-3.652898,-3.691988
0.670000,-3.686258,-2.977636
0.680000,-3.712406,-2.249993
0.690000,-3.731219,-1.510828
0.700000,-3.742590,-0.761937
0.710000,-3.746432,-0.005143
0.720000,-3.742673,0.757712
0.730000,-3.731263,1.524772
0.740000,-3.712170,2.294170
0.750000,-3.685378,3.064032
0.760000,-3.650894,3.832485
0.770000,-3.608740,4.597657
0.780000,-3.558958,5.357686
0.790000,-3.501609,6.110722
0.800000,-3.436773,6.854933
0.810000,-3.364546,7.588509
0.820000,-3.285044,8.309666
0.830000,-3.198400,9.016652
0.840000,-3.104764,9.707750
0.850000,-3.004303,10.381282
0.860000,-2.897202,11.035615
0.870000,-2.783660,11.669163
0.880000,-2.663893,12.280393
0.890000,-2.538132,12.867827
0.900000,-2.406621,13.430047
0.910000,-2.269620,13.965697
0.920000,-2.127400,14.473488
0.930000,-1.980247,14.952202
0.940000,-1.828457,15.400692
0.950000,-1.672337,15.817886
0.960000,-1.512207,16.202793
0.970000,-1.348392,16.554499
0.980000,-1.181230,16.872176
0.990000,-1.011064,17.155081
1.000000,-0.838246,17.402554
